CountryCode,RegionCode,RegionName
AEROSOLS,AEROSOLS,AEROSOLS
ALTITUDE,ALTITUDE,ALTITUDE
ATMOSPHERIC_TEMPERATURE,ATMOSPHERIC_TEMPERATURE,ATMOSPHERIC_TEMPERATURE
BRIGHTNESS_TEMPERATURE,BRIGHTNESS_TEMPERATURE,BRIGHTNESS_TEMPERATURE
CLOUDS,CLOUDS,CLOUDS
CONDENSATION,CONDENSATION,CONDENSATION
CONVECTION,CONVECTION,CONVECTION
EROSION,EROSION,EROSION
EVAPORATION,EVAPORATION,EVAPORATION
GRAVITY_WAVE,GRAVITY_WAVE,GRAVITY_WAVE
HEAT_FLUX,HEAT_FLUX,HEAT_FLUX
HUMIDITY,HUMIDITY,HUMIDITY
HURRICANES,HURRICANES,HURRICANES
LIDAR,LIDAR,LIDAR
LIGHTNING,LIGHTNING,LIGHTNING
NATURAL_HAZARDS,NATURAL_HAZARDS,NATURAL_HAZARDS
OCEAN_CIRCULATION,OCEAN_CIRCULATION,OCEAN_CIRCULATION
OSCILLATIONS,OSCILLATIONS,OSCILLATIONS
Others,Others,Others
PRECIPITATION,PRECIPITATION,PRECIPITATION
RADAR,RADAR,RADAR
SEA_SURFACE_TEMPERATURE,SEA_SURFACE_TEMPERATURE,SEA_SURFACE_TEMPERATURE
STORM_SURGE,STORM_SURGE,STORM_SURGE
STORMS,STORMS,STORMS
SURFACE_WINDS,SURFACE_WINDS,SURFACE_WINDS
TIDES,TIDES,TIDES
TORNADOES,TORNADOES,TORNADOES
TROPICAL_CYCLONES,TROPICAL_CYCLONES,TROPICAL_CYCLONES
TROPOPAUSE,TROPOPAUSE,TROPOPAUSE
TURBULENCE,TURBULENCE,TURBULENCE
TYPHOONS,TYPHOONS,TYPHOONS
VORTICITY,VORTICITY,VORTICITY
WATER_VAPOR,WATER_VAPOR,WATER_VAPOR
WIND_PROFILES,WIND_PROFILES,WIND_PROFILES
WIND_SHEAR,WIND_SHEAR,WIND_SHEAR