CountryName,CountryCode,1969,1970,1971,1972,1973,1974,1975,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1996,1999,2001,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AEROSOLS,AEROSOLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2
ALTITUDE,ALTITUDE,0,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,11,11,11,11,11,12,13,13,13,13
ATMOSPHERIC_TEMPERATURE,ATMOSPHERIC_TEMPERATURE,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4
BRIGHTNESS_TEMPERATURE,BRIGHTNESS_TEMPERATURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,6,7,12,14,14,15,15
CLOUDS,CLOUDS,0,0,0,0,0,0,0,1,2,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,10,10,10,10,10,11,11,11,11,11
CONDENSATION,CONDENSATION,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
CONVECTION,CONVECTION,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,4,4,5,5,5,6,8,14,16,20,24,25,25,25
EROSION,EROSION,0,1,1,1,1,2,3,4,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,9,9,9,9,9,9,9,10,10,10,10,10,12,12,12,12,12
EVAPORATION,EVAPORATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
GRAVITY_WAVE,GRAVITY_WAVE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
HEAT_FLUX,HEAT_FLUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,5,5,5,5,6,6,8,8,8,8
HUMIDITY,HUMIDITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
HURRICANES,HURRICANES,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,6,7,8,10,10,11,11,12,12,12
LIDAR,LIDAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,5,7,7,8,9,9
LIGHTNING,LIGHTNING,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,3,3,3,4,4,5,5,5,5,5,6,7,7,9,9,12,12,12,13,13,13
NATURAL_HAZARDS,NATURAL_HAZARDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
OCEAN_CIRCULATION,OCEAN_CIRCULATION,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,5,5,5
OSCILLATIONS,OSCILLATIONS,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Others,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,5,5,7,7,7,8,8
PRECIPITATION,PRECIPITATION,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,4,7,9,9,15,15,15,18,18,18,18,19,21,22,23,27,30,39,41,42,42,42
RADAR,RADAR,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,5,6,6,7,7,7,7
SEA_SURFACE_TEMPERATURE,SEA_SURFACE_TEMPERATURE,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,7,8,10,12,13,13,13
STORM_SURGE,STORM_SURGE,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,8,9,9,10,10,12,12,13,13,13
STORMS,STORMS,0,0,0,1,3,3,7,9,11,11,11,11,12,13,15,15,15,15,15,15,16,16,18,19,19,19,19,19,19,19,19,19,19,19,20,21,23,23,24,24,24
SURFACE_WINDS,SURFACE_WINDS,0,1,1,1,2,2,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,9,9,9,11,11,12,12
TIDES,TIDES,0,0,2,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,7,7
TORNADOES,TORNADOES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,5,6,6,6
TROPICAL_CYCLONES,TROPICAL_CYCLONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,4,4,5,6,10,13,14,14
TROPOPAUSE,TROPOPAUSE,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,7,10,10
TURBULENCE,TURBULENCE,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
TYPHOONS,TYPHOONS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
VORTICITY,VORTICITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,4,5,5,8,9,10,10,10
WATER_VAPOR,WATER_VAPOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
WIND_PROFILES,WIND_PROFILES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,4,4,4
WIND_SHEAR,WIND_SHEAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,5,5,5,5,5,5,5